Der Herr der Ringe; J.R.R. Tolkien; Fantasy; 978-3-16-148410-0
1984; George Orwell; Dystopie; 978-0-452-28423-4
Die Verwandlung; Franz Kafka; Klassik; 978-3-596-90456-1
Harry Potter und der Stein der Weisen; J.K. Rowling; Fantasy; 978-3-551-55451-0
Der Alchemist; Paulo Coelho; Abenteuer; 978-0-06-112241-5
To Kill a Mockingbird; Harper Lee; Klassik; 978-0-06-112008-4
Pride and Prejudice; Jane Austen; Romantik; 978-0-19-953556-9
The Great Gatsby; F. Scott Fitzgerald; Klassik; 978-0-7432-7356-5
Moby Dick; Herman Melville; Abenteuer; 978-0-14-243724-7
War and Peace; Leo Tolstoy; Historisch; 978-0-14-044793-4
Crime and Punishment; Fyodor Dostoevsky; Krimi; 978-0-14-305814-4
The Catcher in the Rye; J.D. Salinger; Klassik; 978-0-316-76948-0
The Hobbit; J.R.R. Tolkien; Fantasy; 978-0-618-00221-3
Brave New World; Aldous Huxley; Dystopie; 978-0-06-085052-4
The Odyssey; Homer; Episch; 978-0-14-026886-7
The Iliad; Homer; Episch; 978-0-14-027536-0
Jane Eyre; Charlotte Brontë; Romantik; 978-0-14-144114-6
Wuthering Heights; Emily Brontë; Romantik; 978-0-14-143955-6
The Divine Comedy; Dante Alighieri; Episch; 978-0-14-044895-5
Les Misérables; Victor Hugo; Historisch; 978-0-14-044430-8
The Brothers Karamazov; Fyodor Dostoevsky; Klassik; 978-0-14-044924-2
Anna Karenina; Leo Tolstoy; Romantik; 978-0-14-303500-8
Madame Bovary; Gustave Flaubert; Romantik; 978-0-14-044912-9
The Count of Monte Cristo; Alexandre Dumas; Abenteuer; 978-0-14-044926-6
Great Expectations; Charles Dickens; Klassik; 978-0-14-143956-3
David Copperfield; Charles Dickens; Klassik; 978-0-14-043944-1
Frankenstein; Mary Shelley; Horror; 978-0-14-143947-1
Dracula; Bram Stoker; Horror; 978-0-14-143984-6
The Picture of Dorian Gray; Oscar Wilde; Klassik; 978-0-14-143957-0
The Metamorphosis; Franz Kafka; Klassik; 978-0-14-310524-4
The Stranger; Albert Camus; Philosophie; 978-0-14-118250-6
One Hundred Years of Solitude; Gabriel Garcia Marquez; Magischer Realismus; 978-0-06-088328-7
Love in the Time of Cholera; Gabriel Garcia Marquez; Romantik; 978-0-14-012389-0
Don Quixote; Miguel de Cervantes; Abenteuer; 978-0-14-243723-0
